date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:10:55	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20May%202024%2010:40:56%20GMT	https://www.madebydesignesia.com/themes/profession/images_02/icon-url.png	C:/Users/user/Desktop/Desktop/resume/www.madebydesignesia.com/themes/profession/images_02/icon-url.png	(from https://www.madebydesignesia.com/themes/profession/css/style.css)
16:10:55	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20May%202024%2010:40:56%20GMT	https://www.madebydesignesia.com/themes/profession/images_02/icon-zoom.png	C:/Users/user/Desktop/Desktop/resume/www.madebydesignesia.com/themes/profession/images_02/icon-zoom.png	(from https://www.madebydesignesia.com/themes/profession/css/style.css)
16:10:55	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20May%202024%2010:40:57%20GMT	https://www.madebydesignesia.com/themes/profession/images_02/list-arrow.png	C:/Users/user/Desktop/Desktop/resume/www.madebydesignesia.com/themes/profession/images_02/list-arrow.png	(from https://www.madebydesignesia.com/themes/profession/css/style.css)
16:10:56	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20May%202024%2010:40:57%20GMT	https://www.madebydesignesia.com/themes/profession/images/background/bg-header.jpg	C:/Users/user/Desktop/Desktop/resume/www.madebydesignesia.com/themes/profession/images/background/bg-header.jpg	(from https://www.madebydesignesia.com/themes/profession/css/style.css)
16:10:56	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20May%202024%2010:40:57%20GMT	https://www.madebydesignesia.com/themes/profession/images_02/page-loader.gif	C:/Users/user/Desktop/Desktop/resume/www.madebydesignesia.com/themes/profession/images_02/page-loader.gif	(from https://www.madebydesignesia.com/themes/profession/css/style.css)
16:10:56	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20May%202024%2010:40:57%20GMT	https://www.madebydesignesia.com/themes/profession/images_02/ui/arrow-down.png	C:/Users/user/Desktop/Desktop/resume/www.madebydesignesia.com/themes/profession/images_02/ui/arrow-down.png	(from https://www.madebydesignesia.com/themes/profession/css/style.css)
16:10:56	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20May%202024%2010:40:58%20GMT	https://www.madebydesignesia.com/themes/profession/images_02/ui/arrow-up.png	C:/Users/user/Desktop/Desktop/resume/www.madebydesignesia.com/themes/profession/images_02/ui/arrow-up.png	(from https://www.madebydesignesia.com/themes/profession/css/style.css)
16:10:56	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20May%202024%2010:40:58%20GMT	https://www.madebydesignesia.com/themes/profession/images_02/ui/arrow-down-dark.png	C:/Users/user/Desktop/Desktop/resume/www.madebydesignesia.com/themes/profession/images_02/ui/arrow-down-dark.png	(from https://www.madebydesignesia.com/themes/profession/css/style.css)
16:10:57	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20May%202024%2010:40:58%20GMT	https://www.madebydesignesia.com/themes/profession/images_02/ui/arrow-up-dark.png	C:/Users/user/Desktop/Desktop/resume/www.madebydesignesia.com/themes/profession/images_02/ui/arrow-up-dark.png	(from https://www.madebydesignesia.com/themes/profession/css/style.css)
16:10:57	288169/288169	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Mar%202018%2005:12:00%20GMT	https://www.madebydesignesia.com/themes/profession/images/background/1.jpg	C:/Users/user/Desktop/Desktop/resume/www.madebydesignesia.com/themes/profession/images/background/1.jpg	(from https://www.madebydesignesia.com/themes/profession/css/bg.css)
16:10:58	360599/360599	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Mar%202018%2005:12:02%20GMT	https://www.madebydesignesia.com/themes/profession/images/background/5.jpg	C:/Users/user/Desktop/Desktop/resume/www.madebydesignesia.com/themes/profession/images/background/5.jpg	(from https://www.madebydesignesia.com/themes/profession/css/bg.css)
16:10:58	493300/493300	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Mar%202018%2005:12:04%20GMT	https://www.madebydesignesia.com/themes/profession/images/background/6.jpg	C:/Users/user/Desktop/Desktop/resume/www.madebydesignesia.com/themes/profession/images/background/6.jpg	(from https://www.madebydesignesia.com/themes/profession/css/bg.css)
16:10:58	261069/261069	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Mar%202018%2005:12:06%20GMT	https://www.madebydesignesia.com/themes/profession/images/background/7.jpg	C:/Users/user/Desktop/Desktop/resume/www.madebydesignesia.com/themes/profession/images/background/7.jpg	(from https://www.madebydesignesia.com/themes/profession/css/bg.css)
16:10:58	276917/276917	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Mar%202018%2008:47:40%20GMT	https://www.madebydesignesia.com/themes/profession/images/background/8.jpg	C:/Users/user/Desktop/Desktop/resume/www.madebydesignesia.com/themes/profession/images/background/8.jpg	(from https://www.madebydesignesia.com/themes/profession/css/bg.css)
16:10:58	303874/303874	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Mar%202018%2011:58:40%20GMT	https://www.madebydesignesia.com/themes/profession/images/background/10.jpg	C:/Users/user/Desktop/Desktop/resume/www.madebydesignesia.com/themes/profession/images/background/10.jpg	(from https://www.madebydesignesia.com/themes/profession/css/bg.css)
16:10:59	379480/379480	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Mar%202018%2018:33:34%20GMT	https://www.madebydesignesia.com/themes/profession/images/background/12.jpg	C:/Users/user/Desktop/Desktop/resume/www.madebydesignesia.com/themes/profession/images/background/12.jpg	(from https://www.madebydesignesia.com/themes/profession/css/bg.css)
16:10:59	343226/343226	---M--	200	added ('OK')	image/jpeg	date:Sun,%2002%20Jul%202017%2008:54:06%20GMT	https://www.madebydesignesia.com/themes/profession/images/background/2.jpg	C:/Users/user/Desktop/Desktop/resume/www.madebydesignesia.com/themes/profession/images/background/2.jpg	(from https://www.madebydesignesia.com/themes/profession/css/bg.css)
